Arrival no,Arrival time (sec),Base station ,Call duration (sec),velocity (km/h)
2880,3889.976,11,62.347,111.443
2881,3890.851,15,92.576,130.900
2882,3893.744,1,47.669,107.104
2883,3894.059,16,238.596,127.200
2884,3894.135,11,105.591,122.653
2885,3894.939,5,129.375,115.671
2886,3896.019,14,118.326,102.899
2887,3896.221,3,75.010,132.714
2888,3898.118,12,179.098,116.288
2889,3902.682,15,208.444,115.780
2890,3903.626,19,107.117,125.507
2891,3903.838,16,65.183,128.720
2892,3905.725,12,64.728,105.694
2893,3905.944,6,467.672,112.428
2894,3906.075,9,120.883,125.611
2895,3906.711,5,37.339,113.920
2896,3909.314,12,58.397,132.098
2897,3910.693,13,56.629,131.317
2898,3913.680,6,15.564,123.137
2899,3914.141,8,77.253,130.691
2900,3915.385,8,67.951,117.319
2901,3915.601,13,164.308,107.631
2902,3916.742,3,21.009,125.780
2903,3917.431,15,19.059,145.543
2904,3918.795,15,193.547,121.478
2905,3920.036,16,248.920,126.713
2906,3920.891,11,77.594,116.754
2907,3924.050,9,100.642,119.238
2908,3924.198,3,93.050,108.265
2909,3926.943,12,265.271,111.882
2910,3929.703,12,13.722,130.839
2911,3929.770,19,192.215,112.652
2912,3930.556,3,83.698,119.759
2913,3931.782,16,42.614,122.655
2914,3932.460,14,41.678,120.212
2915,3933.141,16,18.082,116.225
2916,3934.172,9,506.016,129.612
2917,3934.789,11,17.533,129.028
2918,3935.379,6,200.065,125.853
2919,3935.986,19,116.941,114.296
2920,3936.225,20,90.930,124.580
2921,3937.118,11,14.769,146.646
2922,3937.675,6,64.316,108.892
2923,3937.783,15,100.897,138.820
2924,3939.058,4,19.913,128.195
2925,3940.520,16,31.492,122.530
2926,3941.083,15,123.907,119.611
2927,3944.810,16,43.300,118.060
2928,3945.486,12,11.638,139.989
2929,3946.491,14,237.168,100.319
2930,3946.987,7,85.513,114.317
2931,3948.207,20,97.858,128.574
2932,3949.016,3,86.028,114.011
2933,3950.993,19,28.867,134.297
2934,3952.448,13,60.540,110.395
2935,3952.982,12,51.207,116.630
2936,3955.831,4,56.782,127.915
2937,3959.417,13,282.876,135.946
2938,3961.379,19,262.210,113.171
2939,3963.601,8,53.487,128.001
2940,3966.745,16,309.078,118.187
2941,3967.063,16,173.743,141.322
2942,3968.125,10,18.235,118.961
2943,3971.508,8,104.816,116.364
2944,3972.402,4,29.255,127.654
2945,3972.593,8,17.594,114.559
2946,3972.865,7,164.428,105.125
2947,3976.626,11,36.404,113.082
2948,3976.680,11,25.812,131.688
2949,3977.124,15,182.534,134.879
2950,3977.271,11,20.216,122.815
2951,3977.311,3,19.684,120.463
2952,3977.647,4,163.674,99.724
2953,3978.455,8,21.004,114.722
2954,3980.600,15,70.905,129.403
2955,3980.726,15,12.641,117.310
2956,3982.399,8,68.717,117.719
2957,3983.084,13,85.781,128.964
2958,3984.475,14,16.600,119.528
2959,3985.389,16,169.253,115.561
2960,3987.016,5,50.098,99.295
2961,3991.204,18,71.360,122.885
2962,3991.401,4,30.087,129.852
2963,3992.586,12,88.288,131.322
2964,3993.424,3,234.818,127.423
2965,3994.354,15,74.894,137.278
2966,3995.313,12,157.875,113.306
2967,3996.730,5,95.747,129.913
2968,3998.503,9,84.784,125.276
2969,3999.833,7,11.178,115.139
2970,4001.312,4,78.836,122.149
2971,4001.896,9,25.150,106.301
2972,4002.758,11,265.094,117.950
2973,4004.464,9,104.898,117.532
2974,4006.154,10,86.395,126.762
2975,4006.639,2,146.029,111.028
2976,4009.935,14,51.555,103.407
2977,4012.393,18,572.334,114.194
2978,4014.983,16,95.633,127.763
2979,4015.361,17,107.110,133.404
2980,4015.614,2,19.600,123.560
2981,4018.079,7,227.912,113.326
2982,4018.925,6,352.431,134.200
2983,4019.499,5,53.171,118.794
2984,4021.766,2,50.675,112.263
2985,4022.425,19,18.113,143.807
2986,4022.442,17,227.547,127.294
2987,4023.014,18,114.811,110.338
2988,4027.209,19,85.341,109.815
2989,4027.243,8,211.821,114.344
2990,4028.046,18,357.509,138.359
2991,4030.347,16,171.589,118.705
2992,4030.604,13,60.182,104.132
2993,4031.639,16,38.832,132.599
2994,4034.285,4,36.476,128.972
2995,4037.403,20,119.027,107.111
2996,4037.856,11,27.470,127.936
2997,4038.274,17,383.224,100.251
2998,4038.560,6,31.712,122.283
2999,4038.979,3,100.699,134.757
3000,4039.189,19,48.493,115.389
3001,4041.493,17,17.349,117.432
3002,4041.855,18,67.616,137.158
3003,4047.227,6,120.129,129.064
3004,4047.975,15,14.362,120.646
3005,4052.179,2,17.060,124.564
3006,4054.005,4,164.038,124.775
3007,4054.703,18,20.856,115.472
3008,4054.847,7,14.899,100.881
3009,4055.217,4,33.572,127.042
3010,4056.262,4,12.404,130.189
3011,4057.290,2,12.759,135.000
3012,4058.231,12,141.636,112.019
3013,4060.122,2,20.543,101.020
3014,4062.123,17,154.124,113.146
3015,4062.250,10,551.261,108.049
3016,4063.163,16,49.642,114.286
3017,4064.268,7,61.230,123.406
3018,4065.807,8,393.269,125.211
3019,4066.024,5,31.433,128.165
3020,4067.300,11,67.450,112.937
3021,4067.514,3,83.227,126.599
3022,4068.658,7,151.793,122.262
3023,4068.974,9,68.482,119.547
3024,4070.064,5,118.086,110.747
3025,4071.304,20,148.737,121.833
3026,4072.271,15,27.478,118.583
3027,4074.577,20,169.331,105.953
3028,4074.615,14,71.917,117.942
3029,4074.919,11,534.550,108.344
3030,4076.263,2,22.968,106.661
3031,4079.255,5,152.695,107.610
3032,4081.756,17,226.320,127.846
3033,4082.800,12,212.055,139.882
3034,4082.928,20,141.366,138.992
3035,4085.292,1,113.225,134.825
3036,4086.937,1,108.436,137.213
3037,4094.557,7,135.771,122.519
3038,4098.544,7,41.937,123.505
3039,4100.176,4,12.630,108.522
3040,4101.712,15,286.847,118.698
3041,4102.969,2,29.140,119.936
3042,4104.038,15,10.079,117.857
3043,4107.508,19,93.760,112.107
3044,4108.203,10,113.355,122.684
3045,4115.301,13,171.021,125.437
3046,4117.266,15,95.463,128.808
3047,4117.490,7,24.761,113.843
3048,4117.555,19,28.806,118.182
3049,4118.010,17,83.545,127.518
3050,4119.091,2,15.310,112.455
3051,4122.783,17,38.139,126.262
3052,4123.603,16,21.758,117.400
3053,4123.695,16,277.836,118.078
3054,4127.667,12,16.069,128.948
3055,4129.492,17,16.678,118.305
3056,4131.368,19,86.461,119.885
3057,4131.681,13,125.019,113.725
3058,4135.223,6,132.676,131.829
3059,4135.899,19,95.916,110.336
3060,4137.165,1,23.059,124.093
3061,4137.368,6,78.025,130.648
3062,4139.479,1,43.601,116.325
3063,4139.501,16,128.000,124.205
3064,4139.847,20,112.774,127.507
3065,4140.717,2,213.724,132.644
3066,4140.757,16,15.633,113.444
3067,4144.864,8,117.120,116.134
3068,4149.008,19,34.331,136.280
3069,4150.210,12,65.398,100.121
3070,4150.475,17,13.334,111.287
3071,4150.562,10,75.571,113.159
3072,4151.909,8,142.340,113.554
3073,4152.040,19,79.690,126.994
3074,4153.142,18,154.948,142.319
3075,4155.524,13,130.133,129.006
3076,4157.246,14,167.978,108.980
3077,4158.261,2,215.167,126.872
3078,4158.661,19,201.153,108.989
3079,4160.625,6,37.153,126.086
3080,4162.257,1,95.760,134.237
3081,4163.808,3,185.224,121.085
3082,4164.035,16,94.795,115.276
3083,4165.914,20,48.224,123.096
3084,4166.876,13,716.429,123.993
3085,4168.458,9,235.027,119.910
3086,4168.684,1,39.931,111.963
3087,4168.987,16,58.916,122.462
3088,4170.748,10,100.060,125.689
3089,4172.831,1,105.435,131.888
3090,4173.771,11,72.816,119.935
3091,4175.291,11,243.892,123.442
3092,4175.907,14,102.871,116.097
3093,4176.646,19,83.230,121.758
3094,4176.744,7,77.127,118.154
3095,4178.309,7,29.034,132.227
3096,4181.544,20,175.053,123.107
3097,4182.829,17,176.057,112.371
3098,4183.298,18,16.443,131.504
3099,4183.850,11,79.719,117.252
3100,4184.800,18,61.765,93.626
3101,4185.152,9,84.764,116.999
3102,4186.118,16,142.669,126.255
3103,4187.082,7,68.595,134.084
3104,4189.222,19,206.152,128.753
3105,4192.456,14,146.869,138.606
3106,4194.153,18,181.257,127.798
3107,4195.095,3,125.793,120.929
3108,4195.944,13,406.983,112.611
3109,4196.577,19,17.847,106.665
3110,4197.237,19,167.998,119.142
3111,4200.754,13,108.354,106.482
3112,4201.862,5,47.630,118.513
3113,4203.308,6,73.031,109.296
3114,4203.576,19,58.673,114.244
3115,4204.222,19,41.439,133.566
3116,4204.529,18,71.585,115.409
3117,4206.331,1,116.998,114.088
3118,4208.907,5,225.192,131.480
3119,4210.772,10,160.070,115.861
3120,4215.914,5,40.430,111.116
3121,4217.502,13,159.222,121.846
3122,4219.026,14,86.620,127.485
3123,4219.517,16,274.234,119.085
3124,4219.635,20,71.117,128.185
3125,4220.753,13,25.485,127.764
3126,4223.402,6,144.232,105.675
3127,4224.370,9,49.190,104.354
3128,4224.569,11,80.831,127.792
3129,4225.495,5,12.612,126.448
3130,4228.239,17,204.399,133.389
3131,4229.596,6,70.260,129.041
3132,4229.721,8,153.207,116.974
3133,4229.896,14,445.255,116.474
3134,4231.740,10,21.423,103.602
3135,4234.182,1,287.981,135.635
3136,4238.536,20,50.737,127.375
3137,4239.308,13,79.152,126.377
3138,4242.245,12,301.436,116.543
3139,4244.765,4,54.536,118.080
3140,4245.487,6,27.839,115.216
3141,4245.681,7,87.884,128.542
3142,4245.957,12,28.330,115.043
3143,4247.410,13,188.510,128.761
3144,4247.677,9,50.222,126.216
3145,4247.732,7,32.540,117.475
3146,4248.309,16,12.389,111.583
3147,4250.697,15,12.906,128.675
3148,4251.135,3,127.087,117.650
3149,4252.949,8,128.576,125.904
3150,4256.451,17,14.579,114.971
3151,4258.475,11,309.335,119.620
3152,4259.503,14,383.605,114.229
3153,4259.762,19,65.779,141.603
3154,4264.293,14,154.929,123.823
3155,4265.827,2,18.172,120.785
3156,4270.812,2,66.650,121.924
3157,4271.099,6,37.261,110.606
3158,4271.539,19,26.899,108.530
3159,4273.205,7,118.796,115.117
3160,4273.616,12,137.274,108.609
3161,4278.326,1,11.895,120.888
3162,4278.499,12,64.164,111.221
3163,4280.627,1,146.998,113.389
3164,4280.970,16,86.521,141.634
3165,4281.897,8,42.914,117.978
3166,4282.647,9,40.954,116.069
3167,4282.915,13,15.996,130.628
3168,4285.177,14,103.970,117.998
3169,4285.708,14,21.677,107.206
3170,4287.326,17,131.372,118.127
3171,4287.621,3,144.799,139.635
3172,4288.589,5,59.069,110.979
3173,4291.594,3,39.247,101.714
3174,4291.967,1,114.081,120.604
3175,4292.460,14,32.672,119.959
3176,4295.822,6,316.800,121.301
3177,4296.720,9,25.853,115.382
3178,4297.557,13,107.968,118.724
3179,4298.915,3,37.441,129.678
3180,4300.191,11,75.594,113.788
3181,4300.646,1,27.450,111.951
3182,4301.217,14,70.225,134.463
3183,4301.437,2,64.365,111.477
3184,4302.503,20,32.482,128.030
3185,4303.873,17,203.738,132.200
3186,4305.079,17,200.556,121.560
3187,4305.932,9,18.688,118.273
3188,4310.156,9,98.322,122.239
3189,4310.836,16,50.049,117.916
3190,4311.915,13,255.206,117.626
3191,4312.325,8,42.499,128.057
3192,4313.151,9,19.777,104.239
3193,4316.234,15,164.716,115.951
3194,4318.864,20,23.298,113.769
3195,4320.191,9,159.802,134.579
3196,4321.332,4,44.072,127.462
3197,4323.970,12,12.976,115.728
3198,4324.205,6,54.169,113.044
3199,4324.929,1,359.164,119.420
3200,4325.193,7,27.452,133.691
3201,4330.294,19,36.941,118.220
3202,4330.367,19,173.054,125.994
3203,4330.719,14,98.908,115.293
3204,4331.719,20,16.775,113.293
3205,4333.182,5,47.190,127.325
3206,4333.446,20,45.440,114.993
3207,4339.232,11,16.611,125.553
3208,4340.317,5,148.691,110.023
3209,4342.071,16,40.844,109.549
3210,4345.746,6,10.925,104.703
3211,4346.995,9,160.487,114.827
3212,4348.055,14,100.143,128.904
3213,4348.468,2,141.505,103.033
3214,4350.491,7,37.461,107.146
3215,4350.910,11,59.407,117.696
3216,4350.990,8,48.228,119.164
3217,4355.212,17,62.028,119.136
3218,4355.580,8,109.608,120.404
3219,4358.485,2,220.125,118.404
3220,4359.899,6,59.940,117.714
3221,4362.924,19,178.062,125.679
3222,4363.069,2,43.450,124.681
3223,4365.213,3,196.928,114.993
3224,4366.595,15,23.179,131.323
3225,4366.666,11,46.431,125.596
3226,4367.793,7,64.625,112.968
3227,4368.121,4,99.625,121.316
3228,4368.268,13,186.588,127.891
3229,4371.475,15,118.743,116.019
3230,4371.643,16,40.524,117.204
3231,4371.861,2,124.700,129.786
3232,4371.967,7,117.221,123.891
3233,4373.234,4,88.598,119.987
3234,4373.915,11,323.560,111.831
3235,4374.023,13,462.840,124.222
3236,4377.999,1,35.415,112.521
3237,4378.113,10,70.602,117.487
3238,4378.382,1,121.989,102.354
3239,4379.527,13,63.642,129.808
3240,4380.151,19,28.264,121.283
3241,4380.910,14,36.316,125.803
3242,4384.027,1,46.456,119.171
3243,4385.918,15,25.562,128.468
3244,4386.317,13,35.584,111.395
3245,4386.653,15,224.628,132.581
3246,4388.127,14,62.598,127.208
3247,4388.388,6,404.538,123.973
3248,4388.515,2,142.647,118.860
3249,4390.674,10,228.025,120.288
3250,4391.512,18,217.026,121.451
3251,4395.558,15,112.672,129.416
3252,4395.710,14,24.488,115.692
3253,4395.719,4,86.629,117.109
3254,4397.863,12,148.054,130.629
3255,4398.039,2,129.169,111.330
3256,4398.570,13,187.644,125.718
3257,4399.376,5,182.381,124.194
3258,4400.879,9,57.932,118.451
3259,4401.437,3,74.180,115.174
3260,4402.248,16,240.362,126.822
3261,4402.798,17,291.534,116.445
3262,4402.829,2,193.394,106.618
3263,4403.117,14,38.111,116.004
3264,4405.343,14,164.589,129.983
3265,4406.290,5,18.177,104.867
3266,4406.477,8,107.220,117.748
3267,4407.204,17,63.340,115.647
3268,4407.551,4,99.184,120.860
3269,4408.036,5,131.488,118.444
3270,4408.257,13,77.274,105.097
3271,4409.057,6,152.603,118.641
3272,4409.973,4,397.881,116.252
3273,4412.164,4,281.881,119.145
3274,4413.240,19,205.491,122.641
3275,4418.023,10,313.837,129.389
3276,4418.406,9,270.393,113.311
3277,4421.448,10,40.772,112.653
3278,4421.839,20,208.637,112.350
3279,4421.912,17,20.077,113.537
3280,4424.909,16,78.089,130.119
3281,4426.531,8,13.636,122.137
3282,4428.631,12,11.165,105.730
3283,4430.783,11,42.520,128.568
3284,4431.307,13,20.118,102.815
3285,4431.751,18,89.751,108.902
3286,4432.511,12,98.936,108.247
3287,4432.593,17,69.014,116.229
3288,4433.826,17,306.497,122.210
3289,4436.160,3,77.725,121.282
3290,4437.021,5,17.859,121.931
3291,4437.676,1,43.821,132.617
3292,4439.309,19,29.626,115.214
3293,4439.968,3,103.808,106.762
3294,4442.139,1,54.272,128.860
3295,4443.177,6,21.226,110.824
3296,4444.193,17,84.580,129.930
3297,4444.793,2,93.335,112.011
3298,4445.274,6,208.770,121.078
3299,4445.553,7,11.332,125.152
3300,4446.570,7,43.247,121.082
3301,4447.418,19,99.801,101.451
3302,4448.301,11,16.241,93.294
3303,4449.056,20,81.411,112.450
3304,4450.379,10,167.820,119.624
3305,4450.961,6,158.016,130.307
3306,4452.093,8,276.433,103.393
3307,4453.089,10,61.369,134.645
3308,4453.392,7,56.083,130.499
3309,4453.861,14,24.614,113.464
3310,4454.809,13,113.902,137.809
3311,4454.970,9,153.606,129.087
3312,4455.209,19,86.322,128.042
3313,4457.623,12,222.483,118.660
3314,4460.451,3,52.296,112.515
3315,4462.328,4,121.224,134.711
3316,4466.455,9,72.390,120.315
3317,4467.027,5,18.717,122.036
3318,4468.701,7,50.923,116.670
3319,4474.854,20,61.274,139.634
3320,4476.912,5,156.489,124.393
3321,4478.400,17,160.148,120.487
3322,4480.893,10,77.222,133.351
3323,4482.057,16,25.600,128.841
3324,4482.279,10,14.043,125.003
3325,4483.644,11,77.831,122.284
3326,4484.040,14,59.935,131.171
3327,4488.990,17,137.532,127.423
3328,4491.198,19,284.816,120.746
3329,4493.640,10,37.546,118.048
3330,4494.488,18,302.094,125.084
3331,4494.976,2,36.995,101.731
3332,4496.344,19,67.894,134.609
3333,4498.529,5,348.625,113.346
3334,4498.814,2,21.396,124.401
3335,4498.995,8,243.496,126.347
3336,4501.630,17,315.454,118.730
3337,4502.479,15,18.583,138.465
3338,4503.074,4,18.729,121.309
3339,4504.062,5,585.239,111.356
3340,4504.236,11,17.475,111.408
3341,4504.807,6,137.694,118.976
3342,4505.922,8,51.988,112.898
3343,4506.458,20,245.853,127.934
3344,4507.348,20,109.773,122.324
3345,4507.834,15,40.381,135.608
3346,4508.610,6,33.060,121.855
3347,4508.689,4,15.373,129.390
3348,4509.131,10,32.558,127.786
3349,4509.298,11,235.227,114.144
3350,4510.738,6,22.970,112.719
3351,4510.744,12,518.931,126.492
3352,4511.650,4,244.904,111.180
3353,4512.824,13,24.720,119.629
3354,4513.831,16,245.243,126.326
3355,4514.223,3,335.029,115.302
3356,4515.730,5,81.521,129.696
3357,4516.686,4,90.117,129.062
3358,4522.300,6,150.895,128.158
3359,4525.951,10,60.957,131.056
3360,4526.045,4,13.211,109.277
3361,4526.656,10,96.725,120.855
3362,4527.559,3,30.380,119.247
3363,4528.318,15,29.014,115.953
3364,4528.969,6,90.924,130.403
3365,4529.710,8,200.086,121.049
3366,4530.595,8,222.024,122.066
3367,4531.215,5,254.828,116.647
3368,4531.938,12,406.034,116.523
3369,4532.672,12,23.681,110.723
3370,4533.749,12,325.379,123.383
3371,4534.598,14,16.978,123.035
3372,4534.736,9,114.859,110.115
3373,4538.880,15,59.024,121.761
3374,4543.028,13,49.659,118.713
3375,4543.797,13,218.713,117.877
3376,4546.348,16,80.935,106.841
3377,4548.096,13,100.948,130.540
3378,4550.611,13,261.041,131.638
3379,4551.043,1,365.016,141.262
3380,4554.143,7,118.413,112.083
3381,4555.713,3,16.173,133.571
3382,4556.461,10,613.663,117.525
3383,4558.651,14,184.407,128.344
3384,4559.378,2,65.905,106.832
3385,4565.741,12,87.610,131.676
3386,4566.100,6,18.787,118.345
3387,4569.098,7,104.881,142.760
3388,4570.158,10,36.232,128.311
3389,4570.803,20,44.969,119.568
3390,4571.326,14,186.875,120.154
3391,4574.929,13,11.997,123.737
3392,4576.379,19,151.713,105.715
3393,4577.921,13,38.505,119.552
3394,4579.105,4,23.086,122.169
3395,4579.942,13,153.738,126.044
3396,4581.856,10,47.357,127.824
3397,4582.623,2,126.611,98.551
3398,4584.499,15,204.986,128.994
3399,4587.507,5,30.076,111.169
3400,4588.650,10,121.648,127.900
3401,4588.749,15,64.615,121.890
3402,4588.896,5,305.492,105.534
3403,4589.442,15,116.904,129.776
3404,4592.680,2,68.199,108.286
3405,4594.514,15,42.313,119.615
3406,4595.883,3,16.137,121.785
3407,4596.076,10,31.385,126.137
3408,4600.046,5,159.016,114.386
3409,4600.398,16,129.069,109.886
3410,4603.236,1,67.877,113.108
3411,4606.278,3,248.186,127.919
3412,4608.101,13,27.153,122.276
3413,4608.592,8,299.246,111.680
3414,4608.616,16,48.762,121.974
3415,4608.713,12,82.573,117.547
3416,4611.292,8,88.036,120.318
3417,4611.369,2,133.580,126.594
3418,4613.635,19,117.681,130.921
3419,4618.232,14,70.844,117.037
3420,4618.933,12,31.174,111.786
3421,4618.967,7,129.879,133.864
3422,4619.014,4,17.921,130.008
3423,4619.140,11,163.812,131.260
3424,4619.564,11,12.008,139.180
3425,4620.610,11,15.684,114.531
3426,4621.188,19,18.348,119.784
3427,4623.366,5,475.131,139.411
3428,4624.904,9,111.063,128.327
3429,4625.175,15,85.467,124.694
3430,4626.618,20,307.520,120.913
3431,4626.920,8,44.653,113.251
3432,4628.483,14,320.155,124.976
3433,4629.558,4,69.220,109.759
3434,4632.569,17,66.865,117.245
3435,4633.065,16,76.157,141.934
3436,4634.033,4,174.784,104.048
3437,4636.574,17,42.356,112.259
3438,4636.776,17,31.152,113.705
3439,4636.922,8,222.768,129.186
3440,4637.662,1,144.735,114.583
3441,4638.252,4,78.661,104.382
3442,4638.333,1,22.369,116.654
3443,4639.072,1,66.696,121.319
3444,4639.506,12,15.282,101.271
3445,4642.429,14,158.926,128.829
3446,4648.047,4,106.110,125.335
3447,4651.066,1,130.779,129.382
3448,4654.531,14,17.527,121.719
3449,4654.767,11,334.445,102.793
3450,4654.992,17,50.501,111.131
3451,4656.934,13,81.237,124.371
3452,4659.610,5,68.290,116.985
3453,4666.679,7,14.732,113.072
3454,4667.111,14,44.848,126.470
3455,4668.387,18,309.654,107.344
3456,4672.250,20,112.597,121.917
3457,4672.683,1,190.974,138.057
3458,4675.634,20,12.240,112.942
3459,4675.649,6,84.629,118.585
3460,4676.466,16,190.458,113.103
3461,4677.119,16,319.179,109.469
3462,4679.475,5,35.734,101.666
3463,4680.459,9,143.098,124.553
3464,4680.526,6,51.284,119.906
3465,4681.578,11,377.856,111.081
3466,4681.634,13,24.680,125.209
3467,4682.028,18,25.863,100.487
3468,4683.406,13,17.349,117.078
3469,4684.360,16,58.994,122.045
3470,4686.085,19,510.449,131.807
3471,4687.017,19,44.332,121.933
3472,4687.914,1,66.327,124.615
3473,4688.377,16,15.884,138.798
3474,4690.976,5,112.339,114.257
3475,4691.989,11,13.079,136.751
3476,4693.497,17,26.540,128.733
3477,4695.177,5,144.240,118.761
3478,4695.821,14,242.276,108.924
3479,4696.115,9,349.428,111.784
3480,4697.656,1,10.293,118.284
3481,4698.757,3,18.182,105.578
3482,4701.974,4,29.693,135.436
3483,4702.477,5,133.383,122.555
3484,4702.478,18,15.721,118.276
3485,4703.811,14,177.518,122.934
3486,4704.815,15,244.782,121.930
3487,4705.302,20,92.789,123.417
3488,4706.216,15,56.577,118.936
3489,4709.071,19,28.068,138.328
3490,4711.425,16,25.275,136.587
3491,4711.631,13,95.427,126.223
3492,4711.883,3,62.016,105.337
3493,4713.824,12,102.360,122.221
3494,4715.635,19,83.249,119.899
3495,4716.187,20,47.964,139.289
3496,4717.150,15,208.675,122.846
3497,4721.003,3,210.677,133.200
3498,4722.545,16,85.233,116.718
3499,4722.619,18,137.410,122.513
3500,4724.362,7,52.586,126.125
3501,4728.074,19,137.643,100.962
3502,4728.566,1,88.642,111.429
3503,4730.620,3,18.908,124.678
3504,4731.092,14,61.433,123.145
3505,4731.975,20,165.517,122.812
3506,4732.069,5,111.394,121.097
3507,4734.614,15,28.187,124.155
3508,4734.738,17,140.786,114.240
3509,4734.752,1,161.966,122.488
3510,4735.108,20,218.722,120.083
3511,4735.421,18,68.313,112.493
3512,4735.429,7,58.097,118.398
3513,4735.689,1,104.049,109.410
3514,4737.558,2,409.184,105.796
3515,4739.045,3,271.511,119.620
3516,4740.891,1,63.429,140.708
3517,4741.234,20,85.396,115.988
3518,4742.940,10,54.327,117.496
3519,4745.117,19,35.865,119.057
3520,4746.766,7,266.416,125.533
3521,4747.148,9,31.875,111.827
3522,4751.527,2,34.590,118.693
3523,4751.736,12,85.502,119.930
3524,4751.851,4,57.272,120.374
3525,4752.839,1,14.717,117.485
3526,4754.132,3,23.136,116.545
3527,4754.848,16,151.826,105.597
3528,4757.607,5,107.385,120.385
3529,4758.283,11,421.575,143.141
3530,4760.279,6,171.474,108.770
3531,4760.531,14,259.249,121.589
3532,4762.288,18,20.945,111.295
3533,4762.838,5,44.886,110.557
3534,4763.036,8,45.376,115.387
3535,4765.113,2,15.235,134.134
3536,4765.582,4,87.547,117.442
3537,4766.075,9,21.637,110.316
3538,4767.979,5,181.086,117.349
3539,4772.108,8,43.839,114.952
3540,4773.678,3,387.729,114.904
3541,4773.715,19,502.704,126.854
3542,4774.387,4,255.546,118.300
3543,4776.179,17,87.282,100.599
3544,4776.447,12,22.434,102.345
3545,4778.017,20,60.181,132.199
3546,4778.183,20,149.344,123.377
3547,4778.337,18,54.507,131.969
3548,4779.329,20,143.737,122.020
3549,4779.706,4,113.254,119.893
3550,4779.998,4,36.970,111.151
3551,4782.143,4,410.647,121.250
3552,4784.819,3,251.762,120.926
3553,4786.809,18,82.962,115.285
3554,4786.994,7,35.110,125.441
3555,4787.999,8,64.315,131.521
3556,4788.036,13,21.936,122.443
3557,4792.470,15,28.896,107.784
3558,4793.090,7,179.983,143.031
3559,4794.066,1,63.087,126.115
3560,4794.173,8,17.277,125.996
3561,4794.866,11,82.310,125.338
3562,4796.243,2,39.140,114.615
3563,4797.544,19,30.147,120.594
3564,4799.205,19,148.409,125.465
3565,4800.146,6,175.398,91.429
3566,4800.168,1,88.577,112.592
3567,4800.920,2,29.822,110.776
3568,4802.350,2,58.208,115.949
3569,4804.845,6,144.102,111.497
3570,4805.529,19,37.721,115.176
3571,4806.295,5,133.740,119.028
3572,4808.058,12,12.203,110.862
3573,4810.482,15,168.472,112.223
3574,4811.493,7,333.884,129.346
3575,4815.203,10,90.622,103.755
3576,4815.769,20,346.160,123.791
3577,4819.104,3,81.707,116.592
3578,4819.537,12,109.047,112.840
3579,4819.828,11,35.687,122.433
3580,4820.889,10,145.206,131.634
3581,4823.308,3,61.750,108.629
3582,4824.935,7,22.016,112.459
3583,4824.987,10,11.625,114.786
3584,4826.680,20,103.964,104.616
3585,4829.348,17,412.824,104.105
3586,4829.999,10,202.954,141.628
3587,4831.524,19,26.430,105.949
3588,4832.340,1,10.172,115.776
3589,4832.973,2,107.523,115.576
3590,4834.902,16,72.565,114.316
3591,4836.900,1,74.565,109.148
3592,4837.095,2,189.438,119.647
3593,4838.329,2,147.260,104.116
3594,4838.640,8,61.318,122.098
3595,4839.781,4,229.015,129.142
3596,4842.256,6,12.876,121.922
3597,4842.911,12,171.772,116.843
3598,4845.481,4,41.132,136.655
3599,4849.507,9,25.003,109.478
3600,4849.936,4,61.719,126.553
3601,4851.440,18,80.059,116.329
3602,4853.615,15,205.198,121.786
3603,4854.718,8,85.876,123.313
3604,4855.074,11,58.026,128.049
3605,4855.771,4,418.606,105.498
3606,4856.538,8,239.016,122.116
3607,4857.044,14,45.428,127.117
3608,4861.263,4,198.933,126.473
3609,4862.456,8,101.394,118.711
3610,4862.721,13,172.517,122.927
3611,4863.418,16,121.242,114.167
3612,4863.681,20,109.079,117.394
3613,4864.871,6,84.192,127.532
3614,4865.165,17,63.206,138.406
3615,4865.285,4,46.150,117.973
3616,4865.287,13,79.592,139.380
3617,4866.293,8,89.405,117.303
3618,4866.587,9,11.162,130.538
3619,4867.860,19,26.014,113.465
3620,4867.873,5,71.998,116.890
3621,4868.146,15,84.769,110.506
3622,4869.480,19,339.806,125.485
3623,4870.846,4,98.817,108.909
3624,4871.380,19,135.825,109.024
3625,4873.867,6,84.232,112.787
3626,4874.401,10,66.985,109.469
3627,4875.321,2,121.124,112.872
3628,4876.477,11,33.900,116.864
3629,4880.069,14,100.012,130.691
3630,4882.147,3,269.379,103.791
3631,4882.942,18,71.349,124.806
3632,4884.955,13,49.042,121.631
3633,4885.219,15,102.968,116.168
3634,4886.631,15,189.111,127.045
3635,4887.995,16,170.882,134.041
3636,4888.665,20,31.484,110.526
3637,4888.788,10,145.413,114.418
3638,4893.795,20,141.973,129.909
3639,4897.231,6,79.262,117.601
3640,4900.576,18,50.329,108.680
3641,4901.881,2,42.586,130.595
3642,4901.906,17,143.285,113.092
3643,4901.968,2,78.173,115.023
3644,4902.827,16,112.354,123.000
3645,4904.454,4,70.073,109.771
3646,4905.072,3,33.672,115.314
3647,4905.843,20,106.612,128.670
3648,4906.554,20,127.839,132.572
3649,4907.914,16,200.222,128.350
3650,4908.233,17,328.332,107.730
3651,4910.494,12,42.839,115.056
3652,4910.789,3,84.892,137.963
3653,4911.014,18,15.250,116.072
3654,4911.141,18,507.114,130.989
